"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Ganhri1 We also strongly support #HRC48 draft #resolution recognising the right to a safe, clean, healthy &amp; sustai… https://t.co/169eRqxmeG",FALSE,0,"Ganhri1",2021-09-22 18:03:11,TRUE,"1440621662420959233","1440738463435743240","828943754874777601","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UnluckyResident",0,FALSE,FALSE,NA,NA
"♻️ Happy National Recycle Week!♻️ 

Grand gestures for the #environment are great, but the little things add up too… https://t.co/l2yPxhcUGR",FALSE,0,NA,2021-09-22 18:03:10,TRUE,NA,"1440738455638609928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossBrewingCo",0,FALSE,FALSE,NA,NA
"RT @USGS: USGS and partners help understand when/where #bluewingedteal #ducks could transmit #avianflu to domestic #chicken and #turkey fac…",FALSE,0,NA,2021-09-22 18:02:48,FALSE,NA,"1440738365133918213",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","satrf",6,TRUE,FALSE,NA,NA
"ICYMI: Our informative webinar on supporting #Indigenous employment in the #environment sector, with Brendan Stephe… https://t.co/cdB1pgl8n0",FALSE,3,NA,2021-09-22 18:01:55,TRUE,NA,"1440738144538677257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Enviro_Journal",2,FALSE,FALSE,NA,NA
"#Wednesdaywisdom #sustainable #ecofriendly #sustainability #eco #gogreen #femaleentrepreneur #ethicallymade… https://t.co/KL4zOQmkh8",FALSE,0,NA,2021-09-22 18:01:55,TRUE,NA,"1440738142269571080",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BacMicro",0,FALSE,FALSE,NA,NA
"MSU-led team receives EPA grant to explore biosolid treatments, effects of pollutants @MichFarmBureau #water… https://t.co/Bz4ERHDFXk",FALSE,0,NA,2021-09-22 18:01:34,TRUE,NA,"1440738053903958021",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BCWaterNews",0,FALSE,FALSE,NA,NA
"Quote of the Day - “If you cannot reduce, then reuse.” Help us to look after our planet and choose the sustainable… https://t.co/QGornZ9ysD",FALSE,0,NA,2021-09-22 18:01:20,TRUE,NA,"1440737997415092224",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MedWarwick",0,FALSE,FALSE,NA,NA
"""We believe that animals do not need to pay with their lives to ensure that their species are protected,” says… https://t.co/FSK0wH4x50",FALSE,0,NA,2021-09-22 18:01:17,TRUE,NA,"1440737984437833732",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","GlobalPress",0,FALSE,FALSE,NA,NA
"RT @safiranand: I found this so true. #trees #environment https://t.co/umIuurxVw1",FALSE,0,NA,2021-09-22 18:01:15,FALSE,NA,"1440737973822115855",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mobi_developer",12,TRUE,FALSE,NA,NA
"Accountants can reduce the environmental impact of mining
#environment #mining #environmental #Accountancy #Accounting",FALSE,0,NA,2021-09-22 18:01:14,FALSE,NA,"1440737971112591365",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fin_margin",0,FALSE,FALSE,NA,NA
"RT @USGS: USGS and partners help understand when/where #bluewingedteal #ducks could transmit #avianflu to domestic #chicken and #turkey fac…",FALSE,0,NA,2021-09-22 18:01:13,FALSE,NA,"1440737965924225035",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hirvikota",6,TRUE,FALSE,NA,NA
"Quote of the Day - “If you cannot reduce, then reuse.” Help us to look after our planet and choose the sustainable… https://t.co/csX5iDCmy6",FALSE,1,NA,2021-09-22 18:01:09,TRUE,NA,"1440737951613218825",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MedWarwick",0,FALSE,FALSE,NA,NA
"RT @H__POD_: Le séminaire débute demain🤩!
« Quebec-Mexico Dialogue on #Responsible #AI: #Health, #culture, #environment and social justice…",FALSE,0,NA,2021-09-22 18:01:01,FALSE,NA,"1440737916918001670",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_wandamunoz",2,TRUE,FALSE,NA,NA
"Kyminasi Plant Booster can be adapted to any irrigation system!

Ask us how!
https://t.co/iETVmNBOYL… https://t.co/d7uMziiAqa",FALSE,1,NA,2021-09-22 18:00:57,TRUE,NA,"1440737901197680643",NA,"<a href=""https://app.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","KyminasiTech",1,FALSE,FALSE,NA,NA
"BBC's David Shukman @davidshukmanbbc is now moderating tomorrow night -thursday - the 4th #environmentalfrontline ""… https://t.co/M5HFeeKLy4",FALSE,0,NA,2021-09-22 18:00:07,TRUE,NA,"1440737690383577091",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","clearpubspace",0,FALSE,FALSE,NA,NA
"RT @SunnySingh: 10) The feeling of #communion with our #environment and #respect for the #life it supports is uplifting to me.",FALSE,0,NA,2021-09-22 17:59:01,FALSE,NA,"1440737413689577475",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JamessParsonn",2,TRUE,FALSE,NA,NA
"RT @FAOLivestock: #DYK | Protecting #animalhealth can help mitigate the effects of #climatechange? 

Healthier animals are more productive…",FALSE,0,NA,2021-09-22 17:58:20,FALSE,NA,"1440737240074756110",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isabaltenweck",8,TRUE,FALSE,NA,NA
"RT @stalebreadzine: Fantastic-looking job posting for a TT hire in Environmental Justice and Cultural Studies @ubcokanagan 
#environment #e…",FALSE,0,NA,2021-09-22 17:57:42,FALSE,NA,"1440737079567142913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LizzyLaurie",1,TRUE,FALSE,NA,NA
